Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
LWIceSword,Items,Weapons,,,[FFD700]Asylum Crystalbane[fdee00],,,,,,,,,,,,,[FFD700]瘋人院水晶劍毒[fdee00]
LWIceSwordDesc,Items,Weapons,,,"[87CEEB]Forged from the heart of a frozen glacier[FFFFFF] in the asylum's [FF4500]cryogenic chambers[FFFFFF], it [4169E1]gleams with cold, crystalline light[FFFFFF] that [FF0000]never fades[FFFFFF].\n[FF0000]It can shatter even the strongest defenses[FFFFFF] and its blade [87CEEB]channels the raw power of winter[FFFFFF], [8B0000]freezing anything it touches[FFFFFF] with [990000]unforgiving asylum chill[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]",,,,,,,,,,,,,[87CEEB]以瘋人院[FF4500]冷凍室[FFFFFF]中一座冰封冰川的核心鑄造[FFFFFF]，散發著[4169E1]冰冷的水晶之光[FFFFFF]，[FF0000]永不消逝[FFFFFF]。\n[FF0000]它能打碎最堅固的防禦[FFFFFF]，其刀刃[87CEEB]引導著冬日的原始力量[FFFFFF]，以[990000]瘋人院無情的寒意[FFFFFF][8B0000]凍結它所觸及的一切[FFFFFF]。\n\n[FFFF00]依深度割傷技能縮放[-]\n\n[FF0000]使用瘋人院傳奇維修套件維修[-]
LWFantasySword,Items,Weapons,,,[FFD700]Asylum Blazing Dawn[fdee00],,,,,,,,,,,,,[FFD700]瘋人院燃燒黎明[fdee00]
LWFantasySwordDesc,Items,Weapons,,,"[FF4500]With its blade etched in fiery orange runes[FFFFFF] from the asylum's [FF0000]crematorium walls[FFFFFF], it [FFD700]harnesses the first light[FFFFFF] of every [8B0000]burning dawn[FFFFFF].\n[FF0000]Its power cuts through darkness and shadow[FFFFFF], [FF4500]burning with unquenchable fire[FFFFFF] that [8B0000]pierces both armor and spirit[FFFFFF] with the [990000]fury of the asylum's furnaces[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]",,,,,,,,,,,,,[FF4500]刀刃刻有來自瘋人院[FF0000]火葬場牆壁[FFFFFF]的火焰橙色符文[FFFFFF]，它[FFD700]汲取每次[8B0000]燃燒黎明[FFFFFF]的第一道光芒力量[FFFFFF]。\n[FF0000]其力量穿透黑暗與陰影[FFFFFF]，以[990000]瘋人院熔爐的怒火[FFFFFF][FF4500]燃燒著不滅之火[FFFFFF]，[8B0000]貫穿甲冑與靈魂[FFFFFF]。\n\n[FFFF00]依深度割傷技能縮放[-]\n\n[FF0000]使用瘋人院傳奇維修套件維修[-]
LWMoltenGreatSword,Items,Weapons,,,[FFD700]Asylum Molten Greatsword[fdee00],,,,,,,,,,,,,[FFD700]瘋人院熔岩巨劍[fdee00]
LWMoltenGreatSwordDesc,Items,Weapons,,,"[FF4500]Forged in the heart of the asylum's active furnace[FFFFFF], it [FF0000]radiates with intense heat[FFFFFF] of [8B0000]molten lava flowing through its blade[FFFFFF].\n[FF0000]Ancient tales speak of its ability to sear through defenses[FFFFFF] and [FF4500]blaze with the fury of the earth[FFFFFF], [8B0000]scorching everything[FFFFFF] in its path with [990000]asylum fire[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]",,,,,,,,,,,,,[FF4500]在瘋人院活躍熔爐的核心中鑄造[FFFFFF]，散發著[FF0000]流過刀刃的[8B0000]熔岩所帶來的強烈熱度[FFFFFF]。\n[FF0000]古老的傳說述說著它貫穿防禦的能力[FFFFFF]，以及那[FF4500]如大地之怒般燃燒[FFFFFF]的力量，[8B0000]燒盡[FFFFFF]其路徑上的一切，留下[990000]瘋人院之火[FFFFFF]的印記。\n\n[FFFF00]依深度割傷技能縮放[-]\n\n[FF0000]使用瘋人院傳奇維修套件維修[-]
decoLWWorm2,Blocks,Block,,,[FFD700]Asylum Staff Memorial - Worm Guy 2[fdee00],,,,,,,,,,,,,[FFD700]瘋人院員工紀念碑 - 蚯蚓人 2[fdee00]
decoLWWorm2Desc,Blocks,Block,,,[FF0000]Second Memorial to Groundskeeper Worm[FFFFFF]: [8B0000]'Unlucky.'[FFFFFF] - [990000]Found carved into his cell wall[FFFFFF],,,,,,,,,,,,,[FF0000]地面維護員蚯蚓的第二塊紀念碑[FFFFFF]：[8B0000]「真是倒楣。」[FFFFFF] - [990000]發現刻於他牢房牆壁上[FFFFFF]
quantumElevatorBlockSecure,blocks,Block,,,Secure Quantum Elevator,,,,,,,,,,,,,安全量子電梯
quantumElevatorBlockSecureDesc,blocks,Block,,,"Place one quantum elevator pad above or below another at any distance. So long as they are properly aligned, [ff8000]standing on[-] one and pressing [ff8000]Jump[-] [[007fff][action:local:Jump][-]]/[ff8000]Crouch[-] [[007fff][action:local:Crouch][-]] will allow you to travel to the other.\n\nPress & hold [action:local:Activate][action:permanent:Activate] to unlock it or set a combination, but [ff8000]this panel cannot be picked up after being placed[-].\n\nIf you don't need the extra security and prefer a more portable alternative, craft a Portable Quantum Elevator.",,,,,,,,,,,,,在任意距離的上方或下方再放置一個量子電梯踏板。只要它們正確對齊，[ff8000]站在[-]其中一個上並按下[ff8000]跳躍[-] [[007fff][action:local:Jump][-]]/[ff8000]蹲下[-] [[007fff][action:local:Crouch][-]] 即可傳送至另一個。\n\n長按 [action:local:Activate][action:permanent:Activate] 可解鎖或設定密碼，但[ff8000]此踏板放置後無法收回[-]。\n\n若不需要額外安全功能且偏好更方便攜帶的替代品，請製作攜帶型量子電梯。
quantumElevatorBlockPortable,blocks,Block,,,Portable Quantum Elevator,,,,,,,,,,,,,攜帶型量子電梯
quantumElevatorBlockPortableDesc,blocks,Block,,,"Place one quantum elevator pad above or below another at any distance. So long as they are properly aligned, [ff8000]standing on[-] one and pressing [ff8000]Jump[-] [[007fff][action:local:Jump][-]]/[ff8000]Crouch[-] [[007fff][action:local:Crouch][-]] will allow you to travel to the other.\n\nThis panel can be picked up, [ff8000]but it cannot be locked[-] and is not recommended for securing a base.\n\nIf you need the extra security and don't mind it being permanently bolted into place, craft a Secure Quantum Elevator.",,,,,,,,,,,,,在任意距離的上方或下方再放置一個量子電梯踏板。只要它們正確對齊，[ff8000]站在[-]其中一個上並按下[ff8000]跳躍[-] [[007fff][action:local:Jump][-]]/[ff8000]蹲下[-] [[007fff][action:local:Crouch][-]] 即可傳送至另一個。\n\n此踏板可以收回，[ff8000]但無法上鎖[-]，不建議用於保護基地。\n\n若需要額外安全功能且不介意永久固定，請製作安全量子電梯。
notifyQuantumElevatorLockedTooltip,buffs,Buff,,,This Quantum Elevator is [ff8000]locked[-]; get in touch with the owner.,,,,,,,,,,,,,此量子電梯[ff8000]已上鎖[-]；請聯繫所有者。
notifyQuantumElevatorLockedWithPasswordTooltip,buffs,Buff,,,This Quantum Elevator is [ff8000]locked and requires a password[-].,,,,,,,,,,,,,此量子電梯[ff8000]已上鎖且需要密碼[-]。
inQuantumElevatorName,buffs,Buff,,,Quantum Elevator Controls,,,,,,,,,,,,,量子電梯控制面板
inQuantumElevatorDesc,buffs,Buff,,,You are currently standing in a Quantum Elevator.\n\nCurrent Elevation: [007fff]{cvar(quantumElevatorTargetElevation:0)}[-]\n\nFrom a [ff8000]Standing[-] position:\n- Use [ff8000]Jump[-] to travel one floor up\n- Use [ff8000]Crouch[-] to travel one floor down,,,,,,,,,,,,,你目前站在量子電梯中。\n\n當前樓層：[007fff]{cvar(quantumElevatorTargetElevation:0)}[-]\n\n從[ff8000]站立[-]狀態：\n- 按[ff8000]跳躍[-]可上一層\n- 按[ff8000]蹲下[-]可下一層
electrician_quantumElevators,progression,Attribute,,,Mod: Quantum Elevators,,,,,,,,,,,,,模組：量子電梯
quest_AsylumS99_desc,,,,,Hunt the final Alpha Monster horde. The asylum's curse reaches its zenith.,,,,,,,,,,,,,獵殺最後一支阿爾法怪物群。瘋人院的詛咒達到頂點。
quest_AsylumS99_subtitle,,,,,Alpha Asylum Elimination 7/10,,,,,,,,,,,,,阿爾法瘋人院殲滅 7/10
quest_AsylumS100,,,,,The Enforcer 100/100,,,,,,,,,,,,,執行者 100/100
quest_AsylumS100_desc,,,,,Face Lucifer himself in the asylum's inferno. The Flying Cinder Boss awaits - defeat the Devil and become the Master Asylum Soldier.,,,,,,,,,,,,,在瘋人院的煉獄中直面路西法本人。飛行煤渣首領正在等待——擊敗魔鬼，成為瘋人院宗師戰士。
quest_AsylumS100_subtitle,,,,,Master Asylum Soldier - Face Lucifer,,,,,,,,,,,,,瘋人院宗師戰士 - 直面路西法
quest_tier2_superinfested_clear,Quest,Quest Info,,,[FF4500]Descent into Madness[-] - [8B0000]Tier II[-],,,,,,,,,,,,,[FF4500]墮入瘋狂[-] - [8B0000]第 II 階[-]
quest_tier3_superinfested_clear,Quest,Quest Info,,,[FF4500]Chambers of Torment[-] - [8B0000]Tier III[-],,,,,,,,,,,,,[FF4500]折磨之室[-] - [8B0000]第 III 階[-]
quest_tier4_superinfested_clear,Quest,Quest Info,,,[FF4500]Halls of Damnation[-] - [8B0000]Tier IV[-],,,,,,,,,,,,,[FF4500]詛咒走廊[-] - [8B0000]第 IV 階[-]
quest_tier5_superinfested_clear,Quest,Quest Info,,,[FF4500]Gates of Hell[-] - [8B0000]Tier V[-],,,,,,,,,,,,,[FF4500]地獄之門[-] - [8B0000]第 V 階[-]
quest_tier6_superinfested_clear,Quest,Quest Info,,,[FF4500]Infernal Depths[-] - [8B0000]Tier VI[-],,,,,,,,,,,,,[FF4500]地獄深淵[-] - [8B0000]第 VI 階[-]
quest_tier2_ultrainfested_clear,Quest,Quest Info,,,[DC143C]Crimson Nightmare[-] - [8B0000]Tier II[-],,,,,,,,,,,,,[DC143C]血色夢魘[-] - [8B0000]第 II 階[-]
quest_tier3_ultrainfested_clear,Quest,Quest Info,,,[DC143C]Blood-Soaked Asylum[-] - [8B0000]Tier III[-],,,,,,,,,,,,,[DC143C]血染瘋人院[-] - [8B0000]第 III 階[-]
quest_tier4_ultrainfested_clear,Quest,Quest Info,,,[DC143C]Screaming Abyss[-] - [8B0000]Tier IV[-],,,,,,,,,,,,,[DC143C]尖叫深淵[-] - [8B0000]第 IV 階[-]
quest_tier5_ultrainfested_clear,Quest,Quest Info,,,[DC143C]Realm of Suffering[-] - [8B0000]Tier V[-],,,,,,,,,,,,,[DC143C]苦難領域[-] - [8B0000]第 V 階[-]
quest_tier6_ultrainfested_clear,Quest,Quest Info,,,[DC143C]Eternal Torment[-] - [8B0000]Tier VI[-],,,,,,,,,,,,,[DC143C]永恆折磨[-] - [8B0000]第 VI 階[-]
quest_tier2_nightmare_clear,Quest,Quest Info,,,[800080]Soul Harvest[-] - [8B0000]Tier II[-],,,,,,,,,,,,,[800080]靈魂收割[-] - [8B0000]第 II 階[-]
quest_tier3_nightmare_clear,Quest,Quest Info,,,[800080]Demon's Playground[-] - [8B0000]Tier III[-],,,,,,,,,,,,,[800080]惡魔樂園[-] - [8B0000]第 III 階[-]
quest_tier4_nightmare_clear,Quest,Quest Info,,,[800080]Apocalypse Rising[-] - [8B0000]Tier IV[-],,,,,,,,,,,,,[800080]啟示崛起[-] - [8B0000]第 IV 階[-]
quest_tier5_nightmare_clear,Quest,Quest Info,,,[800080]End of Days[-] - [8B0000]Tier V[-],,,,,,,,,,,,,[800080]末日終章[-] - [8B0000]第 V 階[-]
quest_tier6_nightmare_clear,Quest,Quest Info,,,[800080]Final Judgment[-] - [8B0000]Tier VI[-],,,,,,,,,,,,,[800080]最終審判[-] - [8B0000]第 VI 階[-]
quest_superinfestation_response1,Quest,Quest Info,,,[FF4500]🔥 HELLISH PURGE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-] [228B22]Tier I Sanctum[-],,,,,,,,,,,,,[FF4500]🔥 地獄清洗[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-] [228B22]第 I 階聖殿[-]
quest_superinfestation_response2,Quest,Quest Info,,,[FF4500]🔥 HELLISH PURGE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-] [FFD700]Tier II Sanctum[-],,,,,,,,,,,,,[FF4500]🔥 地獄清洗[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-] [FFD700]第 II 階聖殿[-]
quest_superinfestation_response3,Quest,Quest Info,,,[FF4500]🔥 HELLISH PURGE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-] [FF4500]Tier III Sanctum[-] ,,,,,,,,,,,,,[FF4500]🔥 地獄清洗[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-] [FF4500]第 III 階聖殿[-]
quest_superinfestation_response4,Quest,Quest Info,,,[FF4500]🔥 HELLISH PURGE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-] [8B0000]Tier IV Sanctum[-] ,,,,,,,,,,,,,[FF4500]🔥 地獄清洗[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-] [8B0000]第 IV 階聖殿[-]
quest_superinfestation_response5,Quest,Quest Info,,,[FF4500]🔥 HELLISH PURGE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-] [4B0000]Tier V Sanctum[-] ,,,,,,,,,,,,,[FF4500]🔥 地獄清洗[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-] [4B0000]第 V 階聖殿[-]
quest_ultrainfestation_response1,Quest,Quest Info,,,[DC143C]💀 BLOOD RITUAL[-] ([8B0000]{poi.distance} {poi.direction}[-]) at [FF1493]{poi.name}[-] [228B22]Tier I Crypt[-] ,,,,,,,,,,,,,[DC143C]💀 血腥儀式[-] ([8B0000]{poi.distance} {poi.direction}[-]) 於 [FF1493]{poi.name}[-] [228B22]第 I 階地窟[-]
quest_ultrainfestation_response2,Quest,Quest Info,,,[DC143C]💀 BLOOD RITUAL[-] ([8B0000]{poi.distance} {poi.direction}[-]) at [FF1493]{poi.name}[-] [FFD700]Tier II Crypt[-] ,,,,,,,,,,,,,[DC143C]💀 血腥儀式[-] ([8B0000]{poi.distance} {poi.direction}[-]) 於 [FF1493]{poi.name}[-] [FFD700]第 II 階地窟[-]
quest_ultrainfestation_response3,Quest,Quest Info,,,[DC143C]💀 BLOOD RITUAL[-] ([8B0000]{poi.distance} {poi.direction}[-]) at [FF1493]{poi.name}[-] [FF4500]Tier III Crypt[-] ,,,,,,,,,,,,,[DC143C]💀 血腥儀式[-] ([8B0000]{poi.distance} {poi.direction}[-]) 於 [FF1493]{poi.name}[-] [FF4500]第 III 階地窟[-]
quest_ultrainfestation_response4,Quest,Quest Info,,,[DC143C]💀 BLOOD RITUAL[-] ([8B0000]{poi.distance} {poi.direction}[-]) at [FF1493]{poi.name}[-] [8B0000]Tier IV Crypt[-] ,,,,,,,,,,,,,[DC143C]💀 血腥儀式[-] ([8B0000]{poi.distance} {poi.direction}[-]) 於 [FF1493]{poi.name}[-] [8B0000]第 IV 階地窟[-]
quest_ultrainfestation_response5,Quest,Quest Info,,,[DC143C]💀 BLOOD RITUAL[-] ([8B0000]{poi.distance} {poi.direction}[-]) at [FF1493]{poi.name}[-] [4B0000]Tier V Crypt[-] ,,,,,,,,,,,,,[DC143C]💀 血腥儀式[-] ([8B0000]{poi.distance} {poi.direction}[-]) 於 [FF1493]{poi.name}[-] [4B0000]第 V 階地窟[-]
quest_nightmare_response1,Quest,Quest Info,,,[800080]👹 SOUL HARVEST[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) at [9932CC]{poi.name}[-] [228B22]Tier I Abyss[-] ,,,,,,,,,,,,,[800080]👹 靈魂收割[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) 於 [9932CC]{poi.name}[-] [228B22]第 I 階深淵[-]
quest_nightmare_response2,Quest,Quest Info,,,[800080]👹 SOUL HARVEST[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) at [9932CC]{poi.name}[-] [FFD700]Tier II Abyss[-] ,,,,,,,,,,,,,[800080]👹 靈魂收割[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) 於 [9932CC]{poi.name}[-] [FFD700]第 II 階深淵[-]
quest_nightmare_response3,Quest,Quest Info,,,[800080]👹 SOUL HARVEST[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) at [9932CC]{poi.name}[-] [FF4500]Tier III Abyss[-] ,,,,,,,,,,,,,[800080]👹 靈魂收割[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) 於 [9932CC]{poi.name}[-] [FF4500]第 III 階深淵[-]
quest_nightmare_response4,Quest,Quest Info,,,[800080]👹 SOUL HARVEST[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) at [9932CC]{poi.name}[-] [8B0000]Tier IV Abyss[-] ,,,,,,,,,,,,,[800080]👹 靈魂收割[-] ([2F0F2F]{poi.distance} {poi.direction}[-]) 於 [9932CC]{poi.name}[-] [8B0000]第 IV 階深淵[-]
quest_infestation_response,Quest,Quest Info,,,[8B0000]🩸 BLOOD CLEANSING[-] ([B22222]{poi.distance} {poi.direction}[-]) [FF6347]{poi.name}[-],,,,,,,,,,,,,[8B0000]🩸 血腥清洗[-] ([B22222]{poi.distance} {poi.direction}[-]) [FF6347]{poi.name}[-]
quest_restore_power_response,Quest,Quest Info,,,[800080]⚡ DARK RITUAL[-] [[FF0000]Night Only[-]] ([B22222]{poi.distance} {poi.direction}[-]) [FF6347]{poi.name}[-],,,,,,,,,,,,,[800080]⚡ 黑暗儀式[-] [[FF0000]僅限夜間[-]] ([B22222]{poi.distance} {poi.direction}[-]) [FF6347]{poi.name}[-]
quest_speed_clear_response,Quest,Quest Info,,,[FF0000]⚡ LIGHTNING PURGE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-],,,,,,,,,,,,,[FF0000]⚡ 閃電清洗[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-]
courier_rescue_response,Quest,Quest Info,,,[800080]🛡️ DEFEND SANCTUARY[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-],,,,,,,,,,,,,[800080]🛡️ 守衛聖所[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-]
tier1_feed_the_famished_response,Quest,Quest Info,,,[DC143C]🍖 BLOOD & SUSTENANCE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-],,,,,,,,,,,,,[DC143C]🍖 血與口糧[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-]
tier1_aid_the_afflicted_response,Quest,Quest Info,,,[8B0000]💉 DARK HEALING[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-],,,,,,,,,,,,,[8B0000] 💉 黑暗治癒 [-] ( [B22222] {poi.distance} {poi.direction} [-] ) at [FF6347] {poi.name} [-]
quest_accelerated_annihiliation_response,Quest,Quest Info,,,[FF4500]⚡ INFERNAL SPEED PURGE[-] ([B22222]{poi.distance} {poi.direction}[-]) at [FF6347]{poi.name}[-],,,,,,,,,,,,,[FF4500]⚡ 地獄急速淨化[-] ([B22222]{poi.distance} {poi.direction}[-]) 於 [FF6347]{poi.name}[-]
Asylumanimalhippo,,,,,Asylum Hippo,,,,,,,,,,,,,瘋人院河馬
meleeHandAsylumHippo,,,,,Hippo Jaws,,,,,,,,,,,,,河馬大顎
Asylumanimallion,,,,,Asylum Lion,,,,,,,,,,,,,瘋人院獅子
meleeHandAsylumLion,,,,,Lion Claws,,,,,,,,,,,,,獅子爪
Asylumanimallioness,,,,,Asylum Lioness,,,,,,,,,,,,,瘋人院母獅
meleeHandAsylumLioness,,,,,Lioness Claws,,,,,,,,,,,,,母獅的爪
Asylumrhino,,,,,Asylum Rhino,,,,,,,,,,,,,瘋人院犀牛
meleeHandAsylumRhino,,,,,Rhino Horn,,,,,,,,,,,,,犀牛角
Asylumzebra,,,,,Asylum Zebra,,,,,,,,,,,,,瘋人院斑馬
Asylumalvus,,,,,Asylum Ingenalvus,,,,,,,,,,,,,因格納爾烏斯瘋人院
meleeHandAsylumIngenalvus,,,,,Ingenalvus Fangs,,,,,,,,,,,,,Ingenalvus尖牙
Asylumkingspawn,,,,,Asylum Kingspawn,,,,,,,,,,,,,瘋人院 Kingspawn
meleeHandAsylumKingspawn,,,,,Kingspawn Claws,,,,,,,,,,,,,王者利爪
Asylumtitan,,,,,Asylum Titan,,,,,,,,,,,,,瘋人院泰坦
meleeHandAsylumTitan,,,,,Titan Fists,,,,,,,,,,,,,泰坦之拳
Asylumonyx,,,,,Asylum Onyx,,,,,,,,,,,,,瘋人院瑪瑙
meleeHandAsylumOnyx,,,,,Onyx Armor,,,,,,,,,,,,,瑪瑙盔甲
mutantRadiatedLizard,,,,,Toxic Splooger,,,,,,,,,,,,,有毒的 Splooger
mutantWastelandSpider,,,,,Legs,,,,,,,,,,,,,腿
biomechanicalSpider,,,,,Cyber Arachnid,,,,,,,,,,,,,網絡蜘蛛
animalZombieDragonFly,,,,,Bu'Tee Fly,,,,,,,,,,,,,布蒂飛
mutantCeratoferox,,,,,Dobie,,,,,,,,,,,,,多比
animalZombieGobblerWasteland,,,,,Gobbler,,,,,,,,,,,,,貪吃者
turt,,,,,Iron Shell,,,,,,,,,,,,,鐵殼
asylumNightDemon,,,,,Asylum Night Demon,,,,,,,,,,,,,瘋人院夜魔
reaper,,,,,Reaper,,,,,,,,,,,,,收割者
ingenalvus,,,,,Ingenalvus,,,,,,,,,,,,,因格納爾烏斯
kingspawn,,,,,Kingspawn,,,,,,,,,,,,,國王之子
onyx,,,,,Onyx,,,,,,,,,,,,,瑪瑙
titan,,,,,Titan,,,,,,,,,,,,,泰坦
npcTraderJoel,entityclasses,Entity,,,Dr. Pestilence,,,,,,,,,,,,,瘟疫博士
npcTraderBob,entityclasses,Entity,,,Cyborg Zero,,,,,,,,,,,,,機器人零
npcTraderHugh,entityclasses,Entity,,,Tracker Voss,,,,,,,,,,,,,追蹤者沃斯
asylumMedicalT2-1,progression,skill,,,[FF4500]Adrenaline Surge[-],,,,,,,,,,,,,[FF4500] 腎上腺素激增 [-]
asylumMedicalT2-2,progression,skill,,,[DC143C]Omnipanacea[-],,,,,,,,,,,,,[DC143C] 萬能藥 [-]
vehicleAsylumUFO,,,,,[66CCFF]Asylum UFO[-],,,,,,,,,,,,,[66CCFF] 庇護不明飛行物 [-]
AsylumUFO,,,,,[66CCFF]Asylum UFO[-],,,,,,,,,,,,,[66CCFF] 庇護不明飛行物 [-]
vehicleAsylumUFOPlaceable,,,,,[66CCFF]Asylum UFO[-],,,,,,,,,,,,,[66CCFF] 庇護不明飛行物 [-]
vehicleAsylumUFOPlaceableDesc,,,,,"[CCCCCC]A [66CCFF]mysterious[-] aerial craft that defies earthly understanding, discovered in the asylum's [FF4444]forbidden laboratories[-]. Its [99DDFF]otherworldly design[-] suggests origins beyond human comprehension, while the [AAFFFF]humming engines[-] emit an eerie glow that pierces through the asylum's perpetual darkness. This vehicle has witnessed [AA0000]unspeakable experiments[-] and carries the [FF6666]secrets[-] of the asylum's most [66CCFF]alien[-] research.[-]",,,,,,,,,,,,,[CCCCCC]一架[66CCFF]神祕的[-]飛行器，它違背了地球的理解，在瘋人院的[FF4444]禁止實驗室[-]中發現。它的[99DDFF]超凡脫俗的設計[-]暗示了超越人類理解的起源，而[AAFFFF]嗡嗡作響的發動機[-]發出怪異的光芒，刺穿了瘋人院永恆的黑暗。這輛車見證了[AA0000]難以言喻的實驗[-]，並承載著瘋人院最[66CCFF]外星人[-]研究的[FF6666]祕密[-]。 [-]
vehicleAsylumUFOChassis,,,,,[66CCFF]Asylum UFO Chassis[-],,,,,,,,,,,,,[66CCFF] 瘋人院UFO底盤[-]
Bar_Bistro_Zeebark,POI,POIName,,x,Restaurant and Bar (Zeebark),,,,,,,,,,,,,餐廳與酒吧（Zeebark）
Bird_Sanctuary_Zeebark,POI,POIName,,x,The World of Birds (Zeebark),,,,,,,,,,,,,鳥類世界 (Zeebark)
Camera_Shop_Zeebark,POI,POIName,,x,Zee Shots Camera Shop (Zeebark),,,,,,,,,,,,,Zee Shots 相機店 (Zeebark)
Cemetery_Zeebark,POI,POIName,,x,Cemetery and Cremotorium (Zeebark),,,,,,,,,,,,,墓地與火葬場 (Zeebark)
Charity_Bar_Duplex,POI,POIName,,x,Bob's Sports Bar (Zeebark),,,,,,,,,,,,,鮑勃運動吧 (Zeebark)
Chippys_Chippy_Zeebark,POI,POIName,,x,Local Fish & Chip Shop (Zeebark),,,,,,,,,,,,,當地炸魚薯條店 (Zeebark)
Church_Zeebark,POI,POIName,,x,Small Abandoned Church (Zeebark),,,,,,,,,,,,,廢棄小教堂 (Zeebark)
Cinema_Zeebark,POI,POIName,,x,Countrytown Cinema (Zeebark),,,,,,,,,,,,,鄉村小鎮電影院 (Zeebark)
Cocktail_Bar_Zeebark,POI,POIName,,x,Steampunk Cocktail Bar (Zeebark),,,,,,,,,,,,,蒸汽龐克雞尾酒吧 (Zeebark)
Coffee_Shop_Zeebark,POI,POIName,,x,Coffee and Cake Shop (Zeebark),,,,,,,,,,,,,咖啡蛋糕店 (Zeebark)
Community_Center_Zeebark,POI,POIName,,x,Local Community Center (Zeebark),,,,,,,,,,,,,當地社區中心 (Zeebark)
Community_Hall_Zeebark,POI,POIName,,x,Local Community Hall (Zeebark),,,,,,,,,,,,,當地社區會堂 (Zeebark)
Computer_Store_Zeebark,POI,POIName,,x,ZPC Computer Store (Zeebark),,,,,,,,,,,,,ZPC 電腦專賣店 (Zeebark)
Cool_Shooz_Duplex_Zeebark,POI,POIName,,x,Cool Shooz Shoe Shop (Zeebark),,,,,,,,,,,,,酷鞋鞋店 (Zeebark)
Damoclez_Zeebark,POI,POIName,,x,Knights Templar Citadel (Zeebark),,,,,,,,,,,,,聖殿騎士城堡 (Zeebark)
Fanz_Duplex_Zeebark,POI,POIName,,x,Downtown Duplex (Zeebark),,,,,,,,,,,,,市區雙拼公寓 (Zeebark)
Haunted_Halloween_House_Zeebark,POI,POIName,,x,Hell House (Zeebark),,,,,,,,,,,,,地獄之屋 (Zeebark)
Ice_Skating_Rink_Zeebark,POI,POIName,,x,Snowstorm Ice Skating Rink (Zeebark),,,,,,,,,,,,,暴雪溜冰場 (Zeebark)
Jail_Break_Pizza_Zeebark,POI,POIName,,x,Pizza Restaurant (Zeebark),,,,,,,,,,,,,披薩餐廳（Zeebark）
La_Lauzee_Zeebark,POI,POIName,,x,LaLauzee Residence (Zeebark),,,,,,,,,,,,,拉勞澤住宅 (Zeebark)
Le_Cube_Zeebark,POI,POIName,,x,Le Cube Alien Ship (Zeebark),,,,,,,,,,,,,立方體外星飛船 (Zeebark)
Mile_End_Prison_Zeebark,POI,POIName,,x,Mile End Prison (Zeebark),,,,,,,,,,,,,英里終監獄（Zeebark）
Mirror_Shop_Zeebark,POI,POIName,,x,On the Wall Mirror Shop (Zeebark),,,,,,,,,,,,,牆上鏡子店 (Zeebark)
Modern_House_Zeebark,POI,POIName,,x,The Mea Residence (Zeebark),,,,,,,,,,,,,梅亞住宅 (Zeebark)
Old_Church_Mansion_Zeebark,POI,POIName,,x,The Tandi Residence (Zeebark),,,,,,,,,,,,,坦迪住宅 (Zeebark)
Pet_Salon_Zeebark,POI,POIName,,x,Pet Grooming Salon (Zeebark),,,,,,,,,,,,,寵物美容沙龍 (Zeebark)
